Trial,Song,False trials,Performance
Baseline,Tydyy,1,95
Baseline,Tydyy,1,95
Baseline,Tydyy,1,95
Baseline,Tydyy,4,80
Baseline,Tydyy,1,95
Baseline,Tydyy,4,80
Baseline,Tydyy,1,95
Baseline,Tydyy,2,90
Baseline,Tydyy,10,50
Baseline,Tydyy,20,0
Listen,Tydyy,2,93
Listen,Tydyy,7,77
Listen,Tydyy,12,60
Listen,Tydyy,25,17
Listen,Tydyy,20,33
Listen,Tydyy,13,57
Listen,Tydyy,5,83
Listen,Tydyy,29,3
Listen,Tydyy,2,93
Listen,Tydyy,3,90
Listen,Tydyy,2,93
Listen,Tydyy,30,0
Listen,Tydyy,30,0
Listen,Tydyy,28,7
Listen,Tydyy,21,30
Listen,Tydyy,30,0
Listen,Tydyy,30,0
Listen,Tydyy,8,73
Listen,Tydyy,29,3
Sing along,Tydyy,14,53
Sing along,Tydyy,16,47
Sing along,Tydyy,1,97
Sing along,Tydyy,7,77
Sing along,Tydyy,8,73
Sing along,Tydyy,26,13
Sing along,Tydyy,17,43
Sing from memory,Tydyy,3,90
Sing from memory,Tydyy,1,97
Sing from memory,Tydyy,19,37
Sing from memory,Tydyy,10,67
Sing from memory,Tydyy,11,63
Sing from memory,Tydyy,3,90
Sing from memory,Tydyy,30,0
Sing from memory,Tydyy,28,7
Sing from memory,Tydyy,2,93
Sing from memory,Tydyy,30,0
Sing from memory,Tydyy,3,90
Sing from memory,Tydyy,30,0
Sing from memory,Tydyy,30,0
Baseline,Uulaa,2,90
Baseline,Uulaa,1,95
Baseline,Uulaa,1,95
Baseline,Uulaa,7,65
Baseline,Uulaa,1,95
Baseline,Uulaa,8,60
Baseline,Uulaa,2,90
Baseline,Uulaa,20,0
Baseline,Uulaa,20,0
Baseline,Uulaa,20,0
Baseline,Uulaa,8,60
Listen,Uulaa,1,97
Listen,Uulaa,1,97
Listen,Uulaa,1,97
Listen,Uulaa,1,97
Listen,Uulaa,2,93
Listen,Uulaa,1,97
Listen,Uulaa,8,73
Listen,Uulaa,15,50
Listen,Uulaa,22,27
Listen,Uulaa,30,0
Listen,Uulaa,22,27
Listen,Uulaa,25,17
Listen,Uulaa,29,3
Listen,Uulaa,3,90
Listen,Uulaa,27,10
Listen,Uulaa,21,30
Listen,Uulaa,3,90
Listen,Uulaa,30,0
Listen,Uulaa,30,0
Listen,Uulaa,12,60
Listen,Uulaa,30,0
Sing along,Uulaa,4,87
Sing along,Uulaa,1,97
Sing along,Uulaa,26,13
Sing along,Uulaa,14,53
Sing along,Uulaa,5,83
Sing along,Uulaa,1,97
Sing along,Uulaa,3,90
Sing along,Uulaa,1,97
Sing along,Uulaa,2,93
Sing along,Uulaa,9,70
Sing along,Uulaa,1,97
Sing along,Uulaa,3,90
Sing from memory,Uulaa,5,83
Sing from memory,Uulaa,2,93
Sing from memory,Uulaa,1,97
Sing from memory,Uulaa,22,27
Sing from memory,Uulaa,4,87
Sing from memory,Uulaa,7,77
Sing from memory,Uulaa,2,93
Sing from memory,Uulaa,2,93
Sing from memory,Uulaa,28,7
Sing from memory,Uulaa,29,3
Sing from memory,Uulaa,20,33
Sing from memory,Uulaa,1,97
Sing from memory,Uulaa,30,0
